City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Hami,CN,2022-08-02 05:18:29,42.8,93.45,95.88,19,73,11.88
267,Pacific Grove,US,2022-08-02 05:16:32,36.6177,-121.9166,69.21,84,0,3.44
268,Soe,ID,2022-08-02 05:18:30,-9.8607,124.284,81.72,40,100,7.78
269,Kaeo,NZ,2022-08-02 05:14:20,-35.1,173.7833,58.32,79,85,6.49
270,Seydi,TM,2022-08-02 05:19:31,39.4816,62.9137,90.37,18,19,13.6
271,Evensk,RU,2022-08-02 05:19:31,61.95,159.2333,53.44,92,99,10.04
272,Freeport,US,2022-08-02 05:16:42,40.6576,-73.5832,73.02,84,0,10.36
273,Muros,ES,2022-08-02 05:19:32,42.7762,-9.0603,68.09,81,0,6.4
274,Umm Lajj,SA,2022-08-02 05:19:32,25.0213,37.2685,87.46,49,59,5.39
275,Tarakan,ID,2022-08-02 05:19:33,3.3,117.6333,87.3,70,40,6.91
276,Beloha,MG,2022-08-02 05:19:33,-25.1667,45.05,66.0,59,81,11.68
277,Porto Walter,BR,2022-08-02 05:19:34,-8.2686,-72.7439,72.88,94,92,1.81
278,Waingapu,ID,2022-08-02 05:19:34,-9.6567,120.2641,85.17,62,93,15.08
279,Carnarvon,AU,2022-08-02 05:19:35,-24.8667,113.6333,67.57,52,92,16.06
280,Padang,ID,2022-08-02 05:19:35,-0.9492,100.3543,83.86,68,100,4.05
281,Atherton,GB,2022-08-02 05:19:35,53.5237,-2.4935,67.21,97,100,1.99
282,Deputatskiy,RU,2022-08-02 05:19:36,69.3,139.9,47.75,95,100,3.13
283,Lavrentiya,RU,2022-08-02 05:19:36,65.5833,-171.0,50.81,73,48,5.59
284,Sorland,NO,2022-08-02 05:19:37,67.667,12.6934,51.66,74,100,10.6
285,Port Keats,AU,2022-08-02 05:19:37,-14.25,129.55,83.34,46,27,10.25
286,Berlevag,NO,2022-08-02 05:19:38,70.8578,29.0864,59.0,93,2,2.3
287,Lethem,GY,2022-08-02 05:19:38,3.3803,-59.7968,74.48,92,100,5.64
288,Hualmay,PE,2022-08-02 05:19:38,-11.0964,-77.6139,61.36,84,46,7.74
289,Saskylakh,RU,2022-08-02 05:19:39,71.9167,114.0833,46.11,61,100,11.45
290,Kenner,US,2022-08-02 05:18:48,29.9941,-90.2417,78.01,85,75,3.0
291,Virginia Beach,US,2022-08-02 05:15:22,36.8529,-75.978,78.01,94,40,9.22
292,Berberati,CF,2022-08-02 05:19:40,4.2612,15.7922,66.69,96,100,3.18
293,Tynec Nad Sazavou,CZ,2022-08-02 05:19:40,49.8335,14.5898,66.29,94,58,2.01
294,Hasaki,JP,2022-08-02 05:19:41,35.7333,140.8333,97.2,74,100,11.21
295,Longhua,CN,2022-08-02 05:19:41,23.6137,114.1919,100.11,41,37,0.83
