City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
477,Garowe,SO,81.63,few clouds,8.4054,48.4845,Curubo Hotel
480,Araceli,PH,79.54,moderate rain,10.5529,119.9913,JBryan Traveler's Inn
482,Xichang,CN,83.07,scattered clouds,27.8964,102.2634,Xichang ibis Hotel
483,Tezu,IN,88.72,broken clouds,27.9167,96.1667,Circuit House
485,Ojinaga,MX,88.57,clear sky,29.5667,-104.4167,Suites Las Palmas
488,Oro Valley,US,82.65,few clouds,32.3909,-110.9665,"El Conquistador Tucson, A Hilton Resort"
490,Lanzhou,CN,88.39,few clouds,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
492,Charters Towers,AU,86.23,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
494,Rolla,US,76.01,clear sky,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
495,Klyuchi,RU,75.33,clear sky,52.2667,79.1667,Vesolaya Mayovka
497,Turtas,RU,77.74,clear sky,58.9417,69.1325,Domashnyaya Gostinitsa
504,Isangel,VU,77.22,few clouds,-19.55,169.2667,Tanna Lodge
505,Eydhafushi,MV,81.21,overcast clouds,5.1033,73.0708,Soneva Fushi
509,Kavaratti,IN,80.31,overcast clouds,10.5669,72.642,Green leaf
511,Hun,LY,79.93,clear sky,29.1268,15.9477,Alrwasi Hotel
513,At-Bashi,KG,75.22,clear sky,41.1702,75.8106,Hostel At-Bashy
517,Dingle,PH,78.84,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
524,Sao Filipe,CV,76.19,broken clouds,14.8961,-24.4956,Hotel Xaguate
526,Pierre,US,81.86,few clouds,44.3683,-100.351,Ramkota Hotel
535,Kalmunai,LK,89.02,overcast clouds,7.4167,81.8167,VS Villa
536,Tianpeng,CN,85.73,clear sky,30.9866,103.9393,Shuangliu Love Home Business Hotel
539,Kargasok,RU,75.24,clear sky,59.0556,80.8572,Hotel Kargasok
541,The Valley,AI,81.82,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
546,Maningrida,AU,84.78,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
